sgRNA	gene	HL60.final	KBM7.final
m38879941	FAM114A1	839	683
p38879711	FAM114A1	1269	1668
p38879861	FAM114A1	3225	3194
p38879911	FAM114A1	669	703
p38879980	FAM114A1	2681	2917
m153414366	FAM114A2	162	391
m153414409	FAM114A2	2750	2017
p153414327	FAM114A2	1170	772
p153414334	FAM114A2	506	449
p153414376	FAM114A2	336	733
p153414381	FAM114A2	534	333
p153414389	FAM114A2	1347	1371
p153414411	FAM114A2	701	914
p153414437	FAM114A2	739	1005
p153414442	FAM114A2	1225	813
m143573570	FAM115A	1870	1709
m143573583	FAM115A	2381	2275
m143573601	FAM115A	457	1333
m143573606	FAM115A	1894	937
m143573649	FAM115A	1470	2870
m143573676	FAM115A	343	410
p143573617	FAM115A	1062	955
p143573659	FAM115A	1165	1120
p143573668	FAM115A	1310	1795
p143573680	FAM115A	832	967
m47810025	FAM117A	728	811
m47810067	FAM117A	439	429
m47841269	FAM117A	1687	1845
m47841274	FAM117A	743	759
m47841316	FAM117A	251	201
m47841409	FAM117A	669	1852
m47841444	FAM117A	1774	1531
p47810059	FAM117A	2434	1834
p47841238	FAM117A	1483	2165
p47841281	FAM117A	1440	2076
m203499943	FAM117B	382	655
m203499994	FAM117B	604	1087
m203500012	FAM117B	1297	1920
m203500030	FAM117B	819	1606
m203500035	FAM117B	1918	2360
p203499905	FAM117B	1332	1310
p203499913	FAM117B	721	1455
p203499964	FAM117B	1291	917
p203499996	FAM117B	3508	3031
p203500002	FAM117B	595	659
m45719090	FAM118A	1220	2215
m45719103	FAM118A	317	850
m45719141	FAM118A	2525	1795
m45719148	FAM118A	3621	4171
m45719153	FAM118A	1984	2100
m45719183	FAM118A	1577	2521
p45719095	FAM118A	489	1268
p45719112	FAM118A	2193	2011
p45719157	FAM118A	2796	2890
p45719169	FAM118A	1518	1400
m126104916	FAM118B	207	211
m126110720	FAM118B	649	410
m126110772	FAM118B	787	1051
m126110814	FAM118B	3721	4487
m126110899	FAM118B	1207	1745
p126104887	FAM118B	1144	1936
p126104895	FAM118B	806	1823
p126110726	FAM118B	1450	1133
p126110776	FAM118B	1237	2893
p126110878	FAM118B	709	1019
m96214798	FAM120AOS	814	1224
m96214808	FAM120AOS	63	211
m96214813	FAM120AOS	781	1254
m96214818	FAM120AOS	2427	4020
m96214851	FAM120AOS	811	947
m96214861	FAM120AOS	1627	1883
m96214867	FAM120AOS	1858	3058
m96214934	FAM120AOS	885	377
m96214940	FAM120AOS	1190	1137
p96214825	FAM120AOS	1560	2080
m96214198	FAM120A	421	1043
m96214217	FAM120A	725	977
m96214249	FAM120A	827	1087
m96214325	FAM120A	1341	2855
m96214334	FAM120A	159	236
m96214348	FAM120A	882	1353
p96214229	FAM120A	90	706
p96214235	FAM120A	622	980
p96214253	FAM120A	69	166
p96214350	FAM120A	121	192
m170626518	FAM120B	691	1404
m170626523	FAM120B	1591	2177
m170626570	FAM120B	1088	1405
m170626594	FAM120B	1892	1939
m170626599	FAM120B	1663	2210
p170626469	FAM120B	1046	557
p170626478	FAM120B	1478	1742
p170626486	FAM120B	1294	2512
p170626534	FAM120B	242	976
p170626562	FAM120B	1759	1708
m54209478	FAM120C	790	1438
m54209586	FAM120C	1369	1166
m54209620	FAM120C	2401	2639
p54209413	FAM120C	259	51
p54209425	FAM120C	1753	789
p54209430	FAM120C	1119	1453
p54209486	FAM120C	378	43
p54209559	FAM120C	716	590
p54209591	FAM120C	460	48
p54209600	FAM120C	1107	1164
m71395175	FAM122A	321	495
m71395198	FAM122A	1167	502
m71395205	FAM122A	365	353
m71395211	FAM122A	575	252
p71395076	FAM122A	1139	1860
p71395088	FAM122A	1305	1042
p71395100	FAM122A	446	309
p71395106	FAM122A	1845	1718
p71395111	FAM122A	23	18
p71395214	FAM122A	785	1026
m133923116	FAM122B	1650	2788
m133923134	FAM122B	1851	1976
m133923254	FAM122B	700	602
m133923280	FAM122B	661	614
m133923286	FAM122B	916	887
m133923291	FAM122B	661	488
m133927846	FAM122B	1692	1661
p133923119	FAM122B	1542	1783
p133923265	FAM122B	939	918
p133927834	FAM122B	1905	1833
m133941670	FAM122C	979	1390
m133941677	FAM122C	1917	1379
m133941683	FAM122C	373	741
m133941720	FAM122C	1963	804
m133955371	FAM122C	635	1031
m133955393	FAM122C	1585	1140
p133941615	FAM122C	104	222
p133948820	FAM122C	661	1315
p133948841	FAM122C	1308	2195
p133948857	FAM122C	971	1225
m51796695	FAM124A	538	815
m51805488	FAM124A	535	836
m51805498	FAM124A	2634	3873
m51805506	FAM124A	796	749
p51796627	FAM124A	1371	1530
p51796634	FAM124A	877	746
p51796640	FAM124A	172	826
p51796660	FAM124A	1385	2008
p51796666	FAM124A	993	1752
p51796679	FAM124A	1036	837
m225266391	FAM124B	1547	1001
m225266410	FAM124B	1191	1656
m225266426	FAM124B	548	590
m225266432	FAM124B	416	801
m225266471	FAM124B	552	890
p225266376	FAM124B	913	1441
p225266397	FAM124B	216	307
p225266416	FAM124B	2053	3301
p225266437	FAM124B	2275	3301
p225266444	FAM124B	2810	1392
m23018018	FAM126A	988	623
m23018023	FAM126A	1674	1448
m23023579	FAM126A	198	696
m23030681	FAM126A	1062	681
m23030712	FAM126A	594	578
p23018035	FAM126A	2247	2441
p23023551	FAM126A	919	1720
p23023558	FAM126A	463	520
p23023610	FAM126A	209	333
p23023635	FAM126A	580	34
m201887555	FAM126B	272	1657
m201887610	FAM126B	1116	365
m201888683	FAM126B	1841	3219
m201888707	FAM126B	2927	1970
p201881853	FAM126B	1235	1720
p201881861	FAM126B	2925	1798
p201887564	FAM126B	56	216
p201887569	FAM126B	744	1361
p201887626	FAM126B	2522	3330
p201888695	FAM126B	965	1284
m134166453	FAM127A	1646	2388
m134166458	FAM127A	1023	2400
m134166463	FAM127A	769	1611
m134166591	FAM127A	1080	1632
p134166398	FAM127A	903	1122
p134166403	FAM127A	753	932
p134166418	FAM127A	637	1039
p134166441	FAM127A	625	1015
p134166532	FAM127A	821	526
p134166612	FAM127A	488	581
m134185348	FAM127B	1703	1984
m134186099	FAM127B	1817	2046
m134186113	FAM127B	1257	1170
m134186128	FAM127B	1710	1047
m134186133	FAM127B	1225	1784
p134185353	FAM127B	2247	2401
p134185359	FAM127B	1610	2876
p134185374	FAM127B	962	1554
p134185825	FAM127B	539	285
p134185872	FAM127B	1315	1452
m184863326	FAM129A	282	910
m184863333	FAM129A	22	575
m184868385	FAM129A	529	413
m184943435	FAM129A	341	344
m184943463	FAM129A	2344	3112
m184943483	FAM129A	1516	2663
p184863317	FAM129A	993	1238
p184868387	FAM129A	1497	2629
p184943445	FAM129A	1995	2384
p184943452	FAM129A	575	563
m130289594	FAM129B	450	222
m130293960	FAM129B	3374	3770
m130293966	FAM129B	2475	3105
m130294000	FAM129B	682	1110
m130294005	FAM129B	1730	1512
p130293922	FAM129B	2096	2092
p130293930	FAM129B	1822	3630
p130293988	FAM129B	1106	1913
p130294018	FAM129B	876	1833
p130294028	FAM129B	1179	2021
m17634256	FAM129C	749	1240
m17634261	FAM129C	234	150
m17638084	FAM129C	845	888
m17638091	FAM129C	1190	1880
m17638164	FAM129C	697	1351
p17638130	FAM129C	4340	5705
p17638135	FAM129C	1471	1457
p17638154	FAM129C	2535	1815
p17638168	FAM129C	887	1126
p17638180	FAM129C	2194	2473
m184059544	FAM131A	807	830
m184059551	FAM131A	2147	1892
m184059560	FAM131A	1857	3266
m184059596	FAM131A	592	751
m184059852	FAM131A	144	423
p184059530	FAM131A	1390	1185
p184059564	FAM131A	1155	2148
p184059569	FAM131A	1950	2608
p184059583	FAM131A	402	1176
p184059842	FAM131A	447	629
m143056502	FAM131B	721	364
m143056834	FAM131B	407	332
m143056839	FAM131B	1453	1488
m143057147	FAM131B	1893	2572
m143057162	FAM131B	2310	3580
p143056493	FAM131B	2657	3742
p143056818	FAM131B	963	817
p143057121	FAM131B	2443	855
p143057128	FAM131B	1611	2776
p143057153	FAM131B	1269	1883
m16390022	FAM131C	963	497
m16390041	FAM131C	171	138
m16390058	FAM131C	1591	1421
m16399917	FAM131C	1501	894
p16390013	FAM131C	2590	2610
p16390024	FAM131C	1373	819
p16390032	FAM131C	1502	976
p16390049	FAM131C	1575	1438
p16390107	FAM131C	594	786
p16390112	FAM131C	833	1150
m1179870	FAM132A	435	670
m1181915	FAM132A	1373	1348
m1181966	FAM132A	1983	1950
m1182010	FAM132A	682	1493
m1182031	FAM132A	754	1583
m1182060	FAM132A	2735	2253
p1181923	FAM132A	2905	1926
p1181973	FAM132A	2537	1964
p1182012	FAM132A	1590	737
p1182034	FAM132A	805	506
m220043139	FAM134A	771	824
m220043145	FAM134A	918	386
m220043163	FAM134A	1875	824
m220043180	FAM134A	829	1511
m220043213	FAM134A	1632	1929
p220043071	FAM134A	793	1334
p220043154	FAM134A	1039	1743
p220043166	FAM134A	2676	3902
p220043172	FAM134A	1714	2829
p220043222	FAM134A	1958	2454
m16477887	FAM134B	1704	1379
m16478960	FAM134B	1293	1067
m16479009	FAM134B	1347	1536
m16481142	FAM134B	2152	1454
m16483456	FAM134B	1376	1022
m16483544	FAM134B	1149	1253
p16481171	FAM134B	3587	3077
p16483513	FAM134B	1860	2858
p16483523	FAM134B	952	1661
p16483536	FAM134B	744	330
m40761164	FAM134C	708	812
m40761179	FAM134C	889	572
m40761205	FAM134C	634	839
m40761224	FAM134C	2194	1979
m40761233	FAM134C	699	1382
m40761251	FAM134C	1386	1021
m40761257	FAM134C	961	1739
m40761327	FAM134C	1264	1392
p40761169	FAM134C	118	147
p40761237	FAM134C	180	374
m71185405	FAM135A	3862	4457
m71186881	FAM135A	263	528
m71186900	FAM135A	742	1932
m71186927	FAM135A	1471	2507
p71138044	FAM135A	2594	3399
p71138059	FAM135A	2718	3032
p71138083	FAM135A	791	806
p71138099	FAM135A	826	682
p71185230	FAM135A	982	1464
p71185361	FAM135A	593	1222
m139323093	FAM135B	161	462
m139380151	FAM135B	395	712
m139380207	FAM135B	705	1406
m139380212	FAM135B	1434	1053
p139278052	FAM135B	1826	2730
p139323078	FAM135B	1005	1131
p139323096	FAM135B	891	2265
p139323120	FAM135B	2683	2630
p139323128	FAM135B	1589	1681
p139323134	FAM135B	994	1860
m70524602	FAM136A	1683	1256
m70528018	FAM136A	4226	4921
m70529097	FAM136A	168	1
m70529115	FAM136A	1099	1161
m70529121	FAM136A	1361	1185
p70528040	FAM136A	968	1397
p70528048	FAM136A	907	630
p70528078	FAM136A	1095	1059
p70528093	FAM136A	845	858
p70529100	FAM136A	738	747
m89708931	FAM13A	401	583
m89708937	FAM13A	1762	1637
m89708993	FAM13A	632	984
m89709006	FAM13A	1196	955
m89709020	FAM13A	699	1144
p89708917	FAM13A	1513	1293
p89708922	FAM13A	626	1105
p89708947	FAM13A	273	387
p89709042	FAM13A	503	392
p89709064	FAM13A	408	529
m137346824	FAM13B	513	1804
m137347474	FAM13B	1071	1443
m137347487	FAM13B	269	838
m137347503	FAM13B	1740	1307
m137347599	FAM13B	1415	858
m137353992	FAM13B	767	1158
p137347447	FAM13B	2025	1844
p137347476	FAM13B	4343	6519
p137347509	FAM13B	1494	1473
p137347571	FAM13B	485	358
m61083819	FAM13C	2113	3283
m61083853	FAM13C	908	1356
m61112031	FAM13C	1418	1866
m61112042	FAM13C	856	517
m61112050	FAM13C	738	369
m61112086	FAM13C	1112	949
p61083824	FAM13C	1299	1503
p61112022	FAM13C	85	72
p61112056	FAM13C	1424	2305
p61112065	FAM13C	2809	2362
m187073147	FAM149A	1237	343
m187073189	FAM149A	2027	3058
m187074822	FAM149A	784	815
m187074827	FAM149A	788	462
p187073104	FAM149A	1088	1248
p187073136	FAM149A	1113	1955
p187073177	FAM149A	561	1193
p187074784	FAM149A	798	553
p187074814	FAM149A	962	1382
p187074831	FAM149A	831	1632
m74928130	FAM149B1	1667	2068
m74934483	FAM149B1	1270	1039
m74937644	FAM149B1	1479	1071
m74952345	FAM149B1	1788	2188
m74952448	FAM149B1	914	1079
p74928095	FAM149B1	1053	1096
p74928102	FAM149B1	1495	865
p74934527	FAM149B1	1153	1294
p74937690	FAM149B1	1017	923
p74937701	FAM149B1	940	744
m287649	FAM150B	886	965
m287675	FAM150B	1117	968
m287691	FAM150B	1300	1759
m287699	FAM150B	552	509
m287714	FAM150B	1840	1588
m287721	FAM150B	1358	1969
m287823	FAM150B	3102	4430
p287660	FAM150B	1100	1318
p287678	FAM150B	875	885
p287729	FAM150B	825	543
m55088995	FAM151A	415	1016
m55089018	FAM151A	1848	1526
m55089037	FAM151A	831	456
m55089058	FAM151A	1420	756
p55088941	FAM151A	519	345
p55088948	FAM151A	599	1017
p55088953	FAM151A	1343	2626
p55088963	FAM151A	1794	1017
p55088987	FAM151A	1846	2025
p55089047	FAM151A	872	1308
m18950804	FAM154A	1492	614
m19032870	FAM154A	2212	4220
p18950796	FAM154A	1481	1366
p18950806	FAM154A	1740	1831
p18950814	FAM154A	1068	928
p18950827	FAM154A	1811	1926
p18950838	FAM154A	2431	2239
p18950847	FAM154A	749	672
p18950860	FAM154A	850	648
p19032886	FAM154A	554	525
m82563959	FAM154B	245	558
m82563980	FAM154B	911	1976
m82563985	FAM154B	462	847
m82564038	FAM154B	322	547
p82555218	FAM154B	5284	4470
p82555224	FAM154B	2394	2004
p82555250	FAM154B	1239	1363
p82564007	FAM154B	1172	2296
p82564023	FAM154B	1710	2324
p82564054	FAM154B	549	1132
m108518736	FAM155A	1436	1231
m108518742	FAM155A	123	473
m108518749	FAM155A	1725	2305
m108518763	FAM155A	516	589
m108518820	FAM155A	2124	1833
m108518906	FAM155A	934	563
p108518772	FAM155A	846	1322
p108518827	FAM155A	151	202
p108518840	FAM155A	1367	1509
p108518856	FAM155A	578	1001
m68725152	FAM155B	511	334
m68725165	FAM155B	1569	537
m68725206	FAM155B	1874	1648
m68725212	FAM155B	2343	2917
m68725231	FAM155B	1113	981
m68725237	FAM155B	1063	1907
m68725264	FAM155B	2066	3024
p68725186	FAM155B	646	922
p68725219	FAM155B	697	402
p68725244	FAM155B	422	796
m53099178	FAM159A	432	985
m53099275	FAM159A	1192	1370
m53099281	FAM159A	418	925
m53099318	FAM159A	786	961
p53099182	FAM159A	2520	949
p53099188	FAM159A	1400	1233
p53099195	FAM159A	1138	679
p53099211	FAM159A	1057	1117
p53099216	FAM159A	1612	1091
p53099246	FAM159A	169	322
m152487446	FAM160A1	2254	3231
m152487476	FAM160A1	450	319
m152487506	FAM160A1	353	753
m152498631	FAM160A1	165	262
m152498666	FAM160A1	520	580
m152498680	FAM160A1	1638	1195
m152498686	FAM160A1	1068	955
p152487401	FAM160A1	2098	2380
p152487428	FAM160A1	785	837
p152498654	FAM160A1	741	1314
m6245617	FAM160A2	1879	1323
m6245634	FAM160A2	1062	1811
m6245683	FAM160A2	257	417
m6245709	FAM160A2	2670	3851
m6245718	FAM160A2	1429	829
m6245740	FAM160A2	2850	2930
p6245620	FAM160A2	1397	2521
p6245626	FAM160A2	2667	3017
p6245642	FAM160A2	1470	1407
p6245727	FAM160A2	452	618
m116581847	FAM160B1	1280	675
m116581856	FAM160B1	1912	2332
m116581863	FAM160B1	1734	1745
m116581874	FAM160B1	1577	1530
m116590619	FAM160B1	975	981
m116590668	FAM160B1	1295	843
m116593004	FAM160B1	513	759
m116593012	FAM160B1	1278	1234
m116593026	FAM160B1	1004	1397
p116593034	FAM160B1	937	1642
m21953861	FAM160B2	1618	440
p21946753	FAM160B2	851	837
p21946758	FAM160B2	295	692
p21946781	FAM160B2	1119	309
p21951955	FAM160B2	2229	2124
p21951964	FAM160B2	1052	382
p21951972	FAM160B2	2149	2792
p21951977	FAM160B2	1146	1898
p21952007	FAM160B2	1414	1100
p21953865	FAM160B2	2745	1292
m62081037	FAM161A	791	402
m62081049	FAM161A	617	830
m62081100	FAM161A	781	985
m62081148	FAM161A	345	205
m62081157	FAM161A	980	406
p62081040	FAM161A	712	969
p62081051	FAM161A	2239	1673
p62081092	FAM161A	761	783
p62081102	FAM161A	2019	2239
p62081139	FAM161A	509	555
m74413257	FAM161B	1975	2513
m74413268	FAM161B	1319	1981
m74413273	FAM161B	1926	1697
m74416721	FAM161B	3434	1086
p74413209	FAM161B	1642	2337
p74413215	FAM161B	1257	1902
p74413275	FAM161B	701	1440
p74416749	FAM161B	4511	5620
p74416758	FAM161B	903	1635
p74416778	FAM161B	1060	1419
m122103138	FAM162A	584	903
m122121642	FAM162A	1023	584
m122121660	FAM162A	738	1117
m122121704	FAM162A	234	141
m122121716	FAM162A	1574	1055
p122103117	FAM162A	2172	1599
p122103124	FAM162A	99	291
p122121630	FAM162A	175	990
p122121665	FAM162A	779	203
p122123117	FAM162A	998	869
m117086683	FAM162B	1299	974
m117086700	FAM162B	571	981
m117086707	FAM162B	1772	2106
m117086724	FAM162B	1124	1896
m117086729	FAM162B	2735	2143
p117086340	FAM162B	1844	1835
p117086377	FAM162B	826	823
p117086555	FAM162B	699	189
p117086647	FAM162B	1930	1913
p117086687	FAM162B	1054	1645
m179782270	FAM163A	1813	2835
m179782285	FAM163A	936	472
m179782306	FAM163A	1158	980
p179782219	FAM163A	474	563
p179782225	FAM163A	2423	1095
p179782238	FAM163A	1524	1051
p179782255	FAM163A	1539	3226
p179782296	FAM163A	434	374
p179782913	FAM163A	88	431
p179782921	FAM163A	2923	3479
m136444511	FAM163B	187	65
m136444520	FAM163B	661	1019
m136444526	FAM163B	531	1475
m136444535	FAM163B	1409	1567
m136445254	FAM163B	352	550
m136445261	FAM163B	1489	2071
m136445329	FAM163B	1157	1285
p136444483	FAM163B	1135	1553
p136445239	FAM163B	539	101
p136445315	FAM163B	942	1317
m140140245	FAM166A	1543	1093
m140140269	FAM166A	356	902
m140140299	FAM166A	1841	3064
m140142113	FAM166A	231	256
m140142133	FAM166A	166	51
p140140154	FAM166A	687	992
p140140160	FAM166A	1199	2368
p140140166	FAM166A	1052	2058
p140140277	FAM166A	1010	804
p140142105	FAM166A	3943	3888
m11301839	FAM167A	577	803
m11301876	FAM167A	1679	1954
m11301888	FAM167A	821	605
p11301797	FAM167A	1058	1371
p11301802	FAM167A	1422	2247
p11301811	FAM167A	359	168
p11301817	FAM167A	1072	1732
p11301823	FAM167A	265	75
p11301830	FAM167A	1587	2023
p11301880	FAM167A	750	771
m73131021	FAM168A	1647	1683
m73131026	FAM168A	1262	1716
m73141736	FAM168A	429	286
m73179461	FAM168A	607	882
p73141726	FAM168A	501	860
p73141738	FAM168A	1053	894
p73141763	FAM168A	311	547
p73141786	FAM168A	1519	1103
p73179435	FAM168A	432	409
p73179448	FAM168A	1000	1932
m131829453	FAM168B	534	546
m131840160	FAM168B	1230	2425
m131840166	FAM168B	546	677
m131840189	FAM168B	581	276
m131840199	FAM168B	571	779
p131829432	FAM168B	380	623
p131829444	FAM168B	1329	2296
p131829456	FAM168B	524	719
p131829479	FAM168B	1140	1382
p131840147	FAM168B	688	862
m74135954	FAM169A	877	1104
m74137414	FAM169A	3958	3390
m74137420	FAM169A	2352	3040
m74137455	FAM169A	2073	2118
m74137479	FAM169A	1820	1744
m74137488	FAM169A	1828	1229
p74135894	FAM169A	769	1640
p74135942	FAM169A	535	594
p74135964	FAM169A	1650	2463
p74135972	FAM169A	284	546
m15412978	FAM171A1	2273	2762
m15412996	FAM171A1	838	1111
m15413016	FAM171A1	888	1228
p15326085	FAM171A1	631	617
p15412943	FAM171A1	424	517
p15412949	FAM171A1	2398	2702
p15412967	FAM171A1	1648	1002
p15412987	FAM171A1	319	115
p15412999	FAM171A1	1498	1875
p15413018	FAM171A1	1313	1020
m42437482	FAM171A2	2221	1655
m42437488	FAM171A2	385	413
m42440985	FAM171A2	312	280
m42441006	FAM171A2	324	358
m42441032	FAM171A2	70	209
p42440949	FAM171A2	1244	945
p42440954	FAM171A2	804	1495
p42440977	FAM171A2	801	1126
p42440989	FAM171A2	791	814
p42441040	FAM171A2	2678	3099
m187558927	FAM171B	1775	1997
m187558934	FAM171B	4075	4490
m187558947	FAM171B	1241	700
m187558981	FAM171B	211	645
m187558988	FAM171B	745	1429
m187559007	FAM171B	1117	496
m187559012	FAM171B	803	719
p187558886	FAM171B	1087	591
p187558895	FAM171B	1184	1230
p187558949	FAM171B	537	1281
m93159875	FAM172A	1295	858
m93159918	FAM172A	638	803
m93159936	FAM172A	1039	1648
m93300200	FAM172A	1330	995
m93386437	FAM172A	1481	1435
p93159938	FAM172A	1101	904
p93217314	FAM172A	660	768
p93386464	FAM172A	1128	977
p93388839	FAM172A	710	1411
p93388847	FAM172A	1272	1627
m771359	FAM173A	1769	1850
m771377	FAM173A	2858	2532
p771261	FAM173A	193	69
p771270	FAM173A	2237	4670
p771276	FAM173A	113	92
p771285	FAM173A	1768	1705
p771299	FAM173A	1803	1447
p771307	FAM173A	422	706
p771330	FAM173A	238	582
p771365	FAM173A	594	1396
m10239200	FAM173B	1942	1890
m10239207	FAM173B	1846	2093
m10239339	FAM173B	1117	891
m10239350	FAM173B	1103	893
m10249971	FAM173B	1122	1559
m10249977	FAM173B	1508	1892
p10239248	FAM173B	803	1520
p10239293	FAM173B	1809	1022
p10239298	FAM173B	659	890
p10239321	FAM173B	1249	1725
m99871244	FAM174A	1927	856
m99871269	FAM174A	597	500
m99871290	FAM174A	2266	2843
m99871323	FAM174A	506	358
m99871352	FAM174A	3012	1911
p99871254	FAM174A	1065	1995
p99871294	FAM174A	459	817
p99871326	FAM174A	692	723
p99871342	FAM174A	1525	1306
p99871364	FAM174A	844	963
m93198834	FAM174B	811	1887
p93198751	FAM174B	1161	1980
p93198757	FAM174B	580	790
p93198764	FAM174B	384	702
p93198769	FAM174B	1092	1639
p93198775	FAM174B	779	1013
p93198781	FAM174B	2295	4715
p93198790	FAM174B	1316	1959
p93198795	FAM174B	1385	1842
p93198837	FAM174B	1024	930
m84391537	FAM175A	990	887
m84403308	FAM175A	1686	1636
m84406140	FAM175A	755	743
m84406146	FAM175A	615	571
m84406152	FAM175A	615	364
m84406181	FAM175A	376	446
m84406193	FAM175A	958	583
m84406220	FAM175A	1257	819
p84397813	FAM175A	314	842
p84403340	FAM175A	1501	1211
m126490411	FAM175B	989	759
m126490426	FAM175B	96	154
m126490445	FAM175B	1909	3248
m126490453	FAM175B	3454	2005
m126505151	FAM175B	1409	1468
p126490394	FAM175B	55	157
p126495410	FAM175B	2792	2860
p126495468	FAM175B	1031	2930
p126507961	FAM175B	709	980
p126507970	FAM175B	752	2114
m35515746	FAM177A1	1429	1376
m35515753	FAM177A1	317	380
m35522563	FAM177A1	854	799
m35522645	FAM177A1	1012	1268
m35548145	FAM177A1	905	897
m35548184	FAM177A1	1700	1895
m35548193	FAM177A1	2656	3060
p35515734	FAM177A1	689	335
p35522477	FAM177A1	1234	1443
p35546400	FAM177A1	850	1135
m222919907	FAM177B	1257	1109
m222919919	FAM177B	1201	520
m222922819	FAM177B	0	0
m222922859	FAM177B	1777	925
p222919878	FAM177B	1052	1232
p222919985	FAM177B	2056	2224
p222919991	FAM177B	1392	1985
p222922802	FAM177B	1492	2336
p222922823	FAM177B	745	740
p222922869	FAM177B	3465	3087
m102672935	FAM178A	655	1656
m102672944	FAM178A	496	556
m102672954	FAM178A	2313	2045
m102672964	FAM178A	1023	982
p102672853	FAM178A	1539	979
p102672871	FAM178A	1120	1092
p102672876	FAM178A	900	1428
p102672956	FAM178A	1080	681
p102672978	FAM178A	2259	1355
p102676352	FAM178A	831	743
m97559664	FAM178B	892	880
m97559703	FAM178B	867	2000
m97559730	FAM178B	789	1638
m97559740	FAM178B	1003	1098
p97559656	FAM178B	386	912
p97559669	FAM178B	2510	1494
p97559682	FAM178B	591	801
p97559687	FAM178B	517	1002
p97559695	FAM178B	896	2019
p97559709	FAM178B	2741	3904
m45431639	FAM179B	904	1991
m45431660	FAM179B	609	115
m45431674	FAM179B	196	608
m45431682	FAM179B	993	613
m45431692	FAM179B	1112	1423
m45431716	FAM179B	635	574
m45431807	FAM179B	1497	2696
p45431664	FAM179B	952	1534
p45431718	FAM179B	970	1026
p45431764	FAM179B	1835	1368
m135421915	FAM180A	621	1239
m135421924	FAM180A	1394	906
m135433255	FAM180A	2210	2380
m135433262	FAM180A	1320	1452
m135433282	FAM180A	945	1106
p135421868	FAM180A	2023	2111
p135421877	FAM180A	1647	1599
p135421888	FAM180A	945	1806
p135421898	FAM180A	2729	4557
p135421905	FAM180A	601	498
m47608333	FAM180B	756	1185
m47608343	FAM180B	1645	1313
m47608352	FAM180B	1366	1986
m47608373	FAM180B	212	476
m47608399	FAM180B	860	1337
m47609301	FAM180B	715	1115
p47608322	FAM180B	2392	1973
p47608356	FAM180B	1088	1319
p47609306	FAM180B	838	1114
p47609313	FAM180B	580	497
m94394641	FAM181A	1062	1904
m94394678	FAM181A	840	1428
m94394686	FAM181A	2596	2593
m94394704	FAM181A	150	366
m94394716	FAM181A	604	514
m94394721	FAM181A	1574	1126
m94394726	FAM181A	181	1020
m94394734	FAM181A	2563	2740
m94394741	FAM181A	831	610
p94394657	FAM181A	1247	1684
m82444603	FAM181B	1718	2271
m82444642	FAM181B	3977	4095
m82444656	FAM181B	413	243
m82444717	FAM181B	363	475
m82444724	FAM181B	1277	962
m82444758	FAM181B	778	641
p82444560	FAM181B	2805	2459
p82444613	FAM181B	1562	1669
p82444666	FAM181B	649	705
p82444728	FAM181B	1950	1389
m43613696	FAM183A	666	1124
m43613713	FAM183A	1482	768
m43613746	FAM183A	1399	1388
m43616484	FAM183A	2480	1034
m43618497	FAM183A	146	281
p43613607	FAM183A	1754	1038
p43613639	FAM183A	1365	2814
p43613678	FAM183A	615	1618
p43616425	FAM183A	1319	749
p43616469	FAM183A	1036	888
m119345458	FAM184A	914	1722
m119345464	FAM184A	1345	1423
m119345496	FAM184A	274	957
m119345521	FAM184A	1683	3267
m119345551	FAM184A	847	2373
m119345651	FAM184A	2037	1854
m119345728	FAM184A	2010	3288
p119345486	FAM184A	263	1015
p119345671	FAM184A	2078	2171
p119345680	FAM184A	1857	1794
m17711230	FAM184B	1431	2311
m17711236	FAM184B	1975	2019
m17711242	FAM184B	355	952
m17782840	FAM184B	1361	1720
m17782847	FAM184B	679	803
m17782857	FAM184B	806	1006
p17711221	FAM184B	633	1343
p17782829	FAM184B	704	642
p17782865	FAM184B	1160	754
p17782870	FAM184B	573	430
m102389666	FAM185A	1708	2292
m102389768	FAM185A	1598	1431
m102401768	FAM185A	762	334
p102389719	FAM185A	644	421
p102389727	FAM185A	858	1574
p102389759	FAM185A	960	1516
p102389772	FAM185A	831	493
p102389777	FAM185A	2300	3842
p102389810	FAM185A	518	1285
p102412859	FAM185A	1252	1598
m49998260	FAM186B	871	1497
m49999166	FAM186B	790	1368
m49999175	FAM186B	1582	1063
m49999200	FAM186B	781	713
p49998239	FAM186B	1193	983
p49998245	FAM186B	465	875
p49999181	FAM186B	1043	933
p49999188	FAM186B	2062	1466
p49999203	FAM186B	1284	984
p49999219	FAM186B	912	916
m15885222	FAM188A	1163	1924
m15889864	FAM188A	1152	1604
m15889893	FAM188A	492	1112
m15889920	FAM188A	1122	1032
m15902261	FAM188A	1022	1240
m15902267	FAM188A	1183	1781
m15902273	FAM188A	1009	730
p15889848	FAM188A	1007	614
p15889866	FAM188A	1075	917
p15902195	FAM188A	670	809
m30811140	FAM188B	793	573
m30811146	FAM188B	1290	412
m30811162	FAM188B	580	594
p30811105	FAM188B	1129	1260
p30811111	FAM188B	742	411
p30811126	FAM188B	807	1267
p30811131	FAM188B	584	1229
p30811150	FAM188B	1269	1356
p30818052	FAM188B	3431	3751
p30818058	FAM188B	2257	2171
m29862752	FAM189A1	394	819
m29862767	FAM189A1	138	601
m29862788	FAM189A1	790	1709
m29862850	FAM189A1	774	478
p29862773	FAM189A1	3626	3469
