sgRNA	gene	HL60.final	KBM7.final
m33500940	ACSS2	1695	3562
m33500955	ACSS2	820	1500
m33501214	ACSS2	845	1776
m33501222	ACSS2	1371	1376
p33470688	ACSS2	1065	1819
p33500893	ACSS2	1128	1621
p33500928	ACSS2	1819	1851
p33501184	ACSS2	799	608
m179287950	ACTL6A	304	159
m179287986	ACTL6A	470	590
p179287878	ACTL6A	157	417
p179287892	ACTL6A	1190	1878
p179287902	ACTL6A	988	1159
p179287911	ACTL6A	1947	1268
p179287920	ACTL6A	1910	1654
p179287966	ACTL6A	869	304
p179287976	ACTL6A	1954	1047
p179291144	ACTL6A	232	721
m100253076	ACTL6B	2063	1552
m100253081	ACTL6B	750	916
m100253086	ACTL6B	1882	2074
m100253168	ACTL6B	748	2164
m100253443	ACTL6B	2678	2516
m100253971	ACTL6B	361	1120
p100253037	ACTL6B	1018	2309
p100253066	ACTL6B	889	767
p100253094	ACTL6B	2197	1129
p100253446	ACTL6B	1720	826
m111624641	ACTL7A	2510	3213
m111624669	ACTL7A	956	842
m111624684	ACTL7A	962	1151
m111624726	ACTL7A	661	450
m111624736	ACTL7A	578	763
p111624607	ACTL7A	885	1854
p111624631	ACTL7A	599	568
p111624686	ACTL7A	168	519
p111624691	ACTL7A	953	1363
p111624699	ACTL7A	1417	950
m69392359	ACTN1	1423	1037
m69392382	ACTN1	1342	2479
m69445694	ACTN1	816	193
m69445700	ACTN1	1643	1666
m69445718	ACTN1	1746	1278
m69445724	ACTN1	2437	2097
p69392370	ACTN1	3111	3490
p69445679	ACTN1	381	334
p69445708	ACTN1	395	420
p69445745	ACTN1	1213	1105
m39138399	ACTN4	1210	1730
m39138430	ACTN4	596	620
m39138527	ACTN4	398	67
p39138381	ACTN4	1075	1450
p39138403	ACTN4	1744	2822
p39138433	ACTN4	1627	1689
p39138459	ACTN4	1897	2800
p39138465	ACTN4	1726	2233
p39138476	ACTN4	1675	1709
p39138482	ACTN4	2530	2890
m104248862	ACTR1A	2213	2147
m104250350	ACTR1A	189	193
m104250365	ACTR1A	1128	1252
p104248833	ACTR1A	1032	1967
p104248866	ACTR1A	741	301
p104250290	ACTR1A	3242	1959
p104250304	ACTR1A	1731	2020
p104262351	ACTR1A	1218	4097
p104262374	ACTR1A	1189	1732
p104262383	ACTR1A	342	627
m114684932	ACTR3	1401	693
m114688941	ACTR3	1286	326
p114674498	ACTR3	2125	1851
p114684915	ACTR3	1110	998
p114684941	ACTR3	1964	2548
p114684946	ACTR3	1193	643
p114684953	ACTR3	287	1091
p114688931	ACTR3	927	1553
p114691883	ACTR3	663	816
p114691894	ACTR3	2229	2034
m37377141	ACTR5	2529	2963
m37377155	ACTR5	659	363
m37377161	ACTR5	842	355
m37377171	ACTR5	764	685
m37377189	ACTR5	2502	1189
p37377163	ACTR5	1571	789
p37377178	ACTR5	1370	888
p37377198	ACTR5	673	1140
p37377204	ACTR5	570	543
p37377211	ACTR5	755	492
m53916047	ACTR8	3444	1592
m53916057	ACTR8	1179	350
m53916067	ACTR8	398	74
m53916073	ACTR8	1269	2580
m53916081	ACTR8	309	411
m53916091	ACTR8	361	1091
m53916096	ACTR8	565	388
m53916103	ACTR8	2350	1844
m53916111	ACTR8	913	1874
m53916121	ACTR8	157	78
m169487192	ACTRT3	346	310
m169487204	ACTRT3	950	1253
m169487242	ACTRT3	1672	2552
m169487247	ACTRT3	457	812
m169487252	ACTRT3	553	1045
m169487267	ACTRT3	1343	1621
m169487273	ACTRT3	282	1198
m169487289	ACTRT3	752	681
p169487206	ACTRT3	715	1043
p169487280	ACTRT3	2005	1704
m52369170	ACVR1B	1538	2861
m52369187	ACVR1B	1605	1647
m52369192	ACVR1B	2364	748
m52369211	ACVR1B	1684	2786
m52369226	ACVR1B	515	205
m52369237	ACVR1B	1931	1920
p52369196	ACVR1B	275	415
p52369243	ACVR1B	963	783
p52369255	ACVR1B	70	263
p52369266	ACVR1B	2414	2199
m158401016	ACVR1C	723	1114
m158401030	ACVR1C	2126	3206
m158401075	ACVR1C	471	1063
m158401097	ACVR1C	1557	1665
m158401113	ACVR1C	486	717
m158443700	ACVR1C	1390	2446
m158443841	ACVR1C	1419	1520
p158443781	ACVR1C	1156	1715
p158443786	ACVR1C	2009	2015
p158443795	ACVR1C	2106	2524
m158637033	ACVR1	2567	2204
m158637046	ACVR1	2055	1724
m158637054	ACVR1	904	680
m158637066	ACVR1	1070	1150
m158655997	ACVR1	2692	3010
p158637019	ACVR1	1145	1331
p158637035	ACVR1	2676	3298
p158637068	ACVR1	2288	2807
p158655928	ACVR1	851	587
p158655958	ACVR1	1070	569
m148602752	ACVR2A	1182	1126
m148602767	ACVR2A	1782	3155
m148653941	ACVR2A	746	2145
m148653961	ACVR2A	1032	954
p148602720	ACVR2A	2354	3163
p148602754	ACVR2A	731	943
p148653859	ACVR2A	959	1370
p148653946	ACVR2A	1457	2080
p148653965	ACVR2A	190	583
p148653997	ACVR2A	2469	2845
m38495825	ACVR2B	3150	2677
m38518828	ACVR2B	2219	2134
m38518849	ACVR2B	1134	662
p38495805	ACVR2B	872	1040
p38495827	ACVR2B	1598	2756
p38518810	ACVR2B	2390	2354
p38518817	ACVR2B	2617	3970
p38518836	ACVR2B	1180	1663
p38518841	ACVR2B	1162	1254
p38518854	ACVR2B	2715	3235
m52306276	ACVRL1	2249	2456
m52306307	ACVRL1	1651	1462
m52306881	ACVRL1	2525	2059
m52306910	ACVRL1	2322	2264
m52306921	ACVRL1	2326	958
p52306245	ACVRL1	1736	2092
p52306281	ACVRL1	2675	2225
p52306287	ACVRL1	2205	3686
p52306296	ACVRL1	1150	1272
p52306883	ACVRL1	1842	2022
m123301295	ADAD1	1518	1011
m123301308	ADAD1	878	2224
m123301332	ADAD1	1699	1668
m123301345	ADAD1	1162	654
m123301366	ADAD1	1423	1337
p123301314	ADAD1	2078	2170
p123301335	ADAD1	595	508
p123301349	ADAD1	802	1162
p123301358	ADAD1	3236	4172
p123301373	ADAD1	1456	1346
m58974490	ADAM10	676	702
m59009777	ADAM10	1729	1785
m59009866	ADAM10	538	1216
m59009883	ADAM10	2685	3758
m59041689	ADAM10	79	309
m59041696	ADAM10	649	592
p58974401	ADAM10	936	448
p58974481	ADAM10	2327	2141
p59009761	ADAM10	293	508
p59009767	ADAM10	1536	912
m128018982	ADAM12	661	612
m128019019	ADAM12	1714	1670
m128019025	ADAM12	1516	1073
