sgRNA_id gene_id list adjusted_ratio
m53916111 ACTR8 list 1.614257
m53916121 ACTR8 list -0.138156
m169487192 ACTRT3 list 0.052415
m169487204 ACTRT3 list 0.447296
m169487242 ACTRT3 list 0.924643
m169487247 ACTRT3 list 0.840644
m169487252 ACTRT3 list 1.135407
m169487267 ACTRT3 list 0.101677
m169487273 ACTRT3 list 1.996864
m169487289 ACTRT3 list -0.368202
p169487206 ACTRT3 list 0.506476
p169487280 ACTRT3 list -0.870986
m52369170 ACVR1B list 1.551269
m52369187 ACVR1B list -0.263942
m52369192 ACVR1B list -2.739127
m52369211 ACVR1B list 1.192465
m52369226 ACVR1B list -0.886109
m52369237 ACVR1B list -0.286277
p52369196 ACVR1B list 0.735491
p52369243 ACVR1B list -0.397251
p52369255 ACVR1B list 1.324051
p52369266 ACVR1B list -0.599878
m158401016 ACVR1C list 0.737935
m158401030 ACVR1C list 0.908403
m158401075 ACVR1C list 1.271487
m158401097 ACVR1C list 0.052132
m158401113 ACVR1C list 0.631823
m158443700 ACVR1C list 1.232966
m158443841 ACVR1C list -0.066779
p158443781 ACVR1C list 0.681979
p158443786 ACVR1C list -0.309317
p158443795 ACVR1C list 0.122635
m158637033 ACVR1 list -0.808040
m158637046 ACVR1 list -0.770130
m158637054 ACVR1 list -0.618003
m158637066 ACVR1 list -0.073243
m158655997 ACVR1 list 0.001918
p158637019 ACVR1 list 0.081336
p158637035 ACVR1 list 0.421815
p158637068 ACVR1 list 0.235204
p158655928 ACVR1 list -0.617824
p158655958 ACVR1 list -1.072825
m148602752 ACVR2A list -0.260190
m148602767 ACVR2A list 1.546614
m148653941 ACVR2A list 2.541317
m148653961 ACVR2A list -0.432714
p148602720 ACVR2A list 0.532364
p148602754 ACVR2A list 0.322238
p148653859 ACVR2A list 0.554428
p148653946 ACVR2A list 0.667328
p148653965 ACVR2A list 1.555611
p148653997 ACVR2A list 0.125249
m38495825 ACVR2B list -0.832627
m38518828 ACVR2B list -0.370892
m38518849 ACVR2B list -1.164525
p38495805 ACVR2B list 0.175519
p38495827 ACVR2B list 1.272911
p38518810 ACVR2B list -0.363722
p38518817 ACVR2B list 1.051832
p38518836 ACVR2B list 0.575082
p38518841 ACVR2B list -0.044359
p38518854 ACVR2B list 0.322603
m52306276 ACVRL1 list 0.070876
m52306307 ACVRL1 list -0.524699
m52306881 ACVRL1 list -0.798351
m52306910 ACVRL1 list -0.387462
m52306921 ACVRL1 list -2.620931
p52306245 ACVRL1 list 0.202333
p52306281 ACVRL1 list -0.899500
p52306287 ACVRL1 list 1.444109
p52306296 ACVRL1 list 0.035827
p52306883 ACVRL1 list 0.032352
m123301295 ADAD1 list -1.195420
m123301308 ADAD1 list 2.000238
m123301332 ADAD1 list -0.305327
m123301345 ADAD1 list -1.256564
m123301366 ADAD1 list -0.340094
p123301314 ADAD1 list -0.192336
p123301335 ADAD1 list -0.209757
p123301349 ADAD1 list 0.612995
p123301358 ADAD1 list 0.569641
p123301373 ADAD1 list -0.337771
m58974490 ADAM10 list -0.133310
m59009777 ADAM10 list -0.196347
m59009866 ADAM10 list 1.229268
m59009883 ADAM10 list 0.731666
m59041689 ADAM10 list 1.560333
m59041696 ADAM10 list -0.105639
p58974401 ADAM10 list -1.061588
p58974481 ADAM10 list -0.581386
p59009761 ADAM10 list 0.701167
p59009767 ADAM10 list -1.490047
m128018982 ADAM12 list -0.044089
m128019019 ADAM12 list -0.349025
m128019025 ADAM12 list -0.983597
m128076635 ADAM12 list 0.410891
m128076658 ADAM12 list 0.148253
p128018991 ADAM12 list 1.416561
p128019039 ADAM12 list -0.157776
p128076618 ADAM12 list 0.547691
p128076641 ADAM12 list 0.721675
p128076650 ADAM12 list 1.142491
m28338537 ADAMTS5 list 1.549843
m28338697 ADAMTS5 list 1.066790
m28338702 ADAMTS5 list -0.022415
p28338524 ADAMTS5 list -1.089199
p28338585 ADAMTS5 list 0.246836
p28338596 ADAMTS5 list 0.722338
p28338607 ADAMTS5 list -1.611540
p28338612 ADAMTS5 list 0.721172
p28338620 ADAMTS5 list 0.659036
p28338667 ADAMTS5 list 1.457551
m975089 ADAP1 list 0.583024
m975116 ADAP1 list 0.424664
m975132 ADAP1 list -0.924910
m994042 ADAP1 list 0.850008
m994066 ADAP1 list 1.055262
m994071 ADAP1 list 0.707372
m994091 ADAP1 list 2.152503
m994101 ADAP1 list 0.618208
m994106 ADAP1 list -0.551827
p975103 ADAP1 list 1.934570
m46591572 ADARB1 list 0.815132
m46595675 ADARB1 list -1.179187
m46595697 ADARB1 list 0.101132
m46595715 ADARB1 list 0.732161
m46595721 ADARB1 list -0.593773
m46595779 ADARB1 list 0.010675
p46595645 ADARB1 list -0.142955
p46595700 ADARB1 list -0.719147
p46595705 ADARB1 list 1.013756
p46595724 ADARB1 list -0.238635
m1779246 ADARB2 list -0.764556
m1779251 ADARB2 list -0.319247
m1779266 ADARB2 list 0.098139
m1779272 ADARB2 list 0.437265
m1779308 ADARB2 list 0.340015
m1779330 ADARB2 list 0.349874
m1779337 ADARB2 list -0.747059
p1421307 ADARB2 list 1.164061
p1421336 ADARB2 list -0.886163
p1779233 ADARB2 list 0.948283
m154574098 ADAR list -0.903848
m154574103 ADAR list 1.323210
m154574108 ADAR list -1.119043
m154574165 ADAR list 0.262838
m154574219 ADAR list -1.363285
p154574043 ADAR list -0.803722
p154574114 ADAR list 0.328469
p154574121 ADAR list 0.261984
p154574126 ADAR list 0.786211
p154574157 ADAR list 0.023124
m78285328 ADCK1 list 1.287533
m78285358 ADCK1 list 0.746989
m78285376 ADCK1 list -0.100141
m78285413 ADCK1 list 0.564152
p78285311 ADCK1 list -0.334391
p78285331 ADCK1 list 0.386962
p78285341 ADCK1 list 0.324944
p78285386 ADCK1 list 0.616156
p78285402 ADCK1 list -0.268836
p78285416 ADCK1 list 2.419376
m140373155 ADCK2 list 1.000710
m140373168 ADCK2 list 0.981408
m140373177 ADCK2 list -1.081378
m140373210 ADCK2 list -1.402986
m140373220 ADCK2 list -1.117031
